label,category,score_Version_1
35,HR,0.9875715016771537
55,DESIGNER,0.9704997836666478
110,Managment,0.9805287885295095
180,INFORMATION-TECHNOLOGY,0.9759035398740793
290,Education,0.958893175914569
410,ADVOCATE,0.9731910690994272
460,BUSINESS-DEVELOPMENT,0.9812216719539782
510,Health & Fitness,0.9329697557428088
570,AGRICULTURE,0.9685838009921597
600,BPO,0.968601391436914
620,SALES,0.9647627170900809
690,DIGITAL-MEDIA,0.9607651687720455
730,DIGITAL-MEDIA,0.9699493448834443
760,AUTOMOBILE,0.9629997226588246
790,Food & Beverages,0.9522995368670025
830,FINANCE,0.9746278932525428
870,APPAREL,0.9560613236027216
950,ENGINEERING,0.9519430359550859
1010,ACCOUNTANT,0.987462109376027
1100,Architects,0.9459393470645002
1110,PUBLIC-RELATIONS,0.9827158303729531
1120,BANKING,0.9742451026081812
1170,ARTS,0.9724760183319284
1210,AVIATION,0.970074799819421
